rank,name,symbol,price,change_24h,market_cap,timestamp,source
1,Bitcoin,BTC,$105423.18,1.42%,$2091234567890,10-06-2025 10:00,CoinGecko
2,Ethereum,ETH,$2541.67,-0.83%,$305678912345,10-06-2025 10:00,CoinGecko
3,Tether,USDT,$1.00,0.01%,$145678901234,10-06-2025 10:00,CoinGecko
4,XRP,XRP,$2.18,3.12%,$125432198765,10-06-2025 10:00,CoinGecko
5,BNB,BNB,$654.21,-1.45%,$95671234567,10-06-2025 10:00,CoinGecko
6,Solana,SOL,$167.43,5.67%,$78912345678,10-06-2025 10:00,CoinGecko
7,USDC,USDC,$1.00,0.00%,$60123456789,10-06-2025 10:00,CoinGecko
8,Dogecoin,DOGE,$0.18,2.31%,$26543219876,10-06-2025 10:00,CoinGecko
9,Cardano,ADA,$0.72,-0.54%,$25678912345,10-06-2025 10:00,CoinGecko
10,TRON,TRX,$0.27,1.89%,$23456789012,10-06-2025 10:00,CoinGecko

